SampleID,R^2,MAE,Aitchison,Pipeline,Source
SRR11487937,0.659541882,0.024099147,4.524904713,bio4,mixed
SRR11487938,0.685565084,0.0237905,4.111790869,bio4,mixed
SRR11487939,0.654295093,0.02366066,5.397530584,bio4,mixed
SRR11487940,0.690324962,0.022556673,4.437403726,bio4,mixed
SRR11487941,0.68558016,0.02347282,5.353040549,bio4,mixed
SRR11487937,0.576399646,0.021710187,2.140454271,jams,mixed
SRR11487938,0.573773405,0.021830234,2.185477608,jams,mixed
SRR11487939,0.602395421,0.021264602,2.219778247,jams,mixed
SRR11487940,0.581674516,0.021533474,2.126682453,jams,mixed
SRR11487941,0.58628625,0.021574108,2.156119856,jams,mixed
SRR11487937,0.61859051,0.026523529,7.175811571,wgsa,mixed
SRR11487938,0.619768405,0.026629412,7.183216344,wgsa,mixed
SRR11487939,0.624221574,0.026535294,7.066469293,wgsa,mixed
SRR11487940,0.622552621,0.026523529,7.178799835,wgsa,mixed
SRR11487941,0.62512554,0.026464706,7.178498141,wgsa,mixed
SRR11487937,0.064483203,0.031908792,2.880932658,wol,mixed
SRR11487938,0.063261953,0.032436301,2.900550667,wol,mixed
SRR11487939,0.0662465,0.031739325,2.896510594,wol,mixed
SRR11487940,0.064255832,0.032401061,2.881878252,wol,mixed
SRR11487941,0.065766444,0.032094751,2.874761416,wol,mixed
SRR11487931,0.903653094,0.021603584,5.931900619,jams,hilo
SRR11487932,0.897391946,0.021841418,5.211215208,jams,hilo
SRR11487933,0.911221583,0.020365352,5.299186914,jams,hilo
SRR11487934,0.902373086,0.021260308,5.421177659,jams,hilo
SRR11487935,0.917007452,0.020144055,6.010994487,jams,hilo
SRR11487931,0.914347441,0.018817647,4.818180127,wgsa,hilo
SRR11487932,0.912171001,0.018917647,4.81057938,wgsa,hilo
SRR11487933,0.920784946,0.018035294,4.780543262,wgsa,hilo
SRR11487934,0.917520935,0.018252941,4.788792039,wgsa,hilo
SRR11487935,0.924383583,0.017611765,4.744486598,wgsa,hilo
SRR11487931,0.37232246,0.042492137,3.188152435,wol,hilo
SRR11487932,0.353176376,0.043426148,3.236775068,wol,hilo
SRR11487933,0.358590224,0.042739754,3.08485921,wol,hilo
SRR11487934,0.376024908,0.042038076,3.133106893,wol,hilo
SRR11487935,0.366019942,0.042191229,3.023360261,wol,hilo
s1,6.46E-05,0.213187216,11.77929216,biobakery3,bmock12
s1,0.007514194,0.217722375,6.837848805,biobakery4,bmock12
s1,0.997292328,0.005135836,0.188390129,jams,bmock12
s1,0.870154636,0.0326375,2.271899349,wgsa2,bmock12
s1,0.676561841,0.137779711,6.569568431,woltka,bmock12
SRR17380241,0.267700738,0.017910447,2.857712289,bio4,tourlousse
SRR17380242,0.268487782,0.017545194,2.820469291,bio4,tourlousse
SRR17380243,0.272629497,0.017547718,2.996638531,bio4,tourlousse
SRR17380244,0.251724139,0.018662318,3.029411181,bio4,tourlousse
SRR17380245,0.271411552,0.017937871,2.948971911,bio4,tourlousse
SRR17380246,0.263090181,0.0178254,2.842599993,bio4,tourlousse
SRR17380241,0.030010518,0.01988333,1.885849606,jams,tourlousse
SRR17380242,0.030505417,0.019871038,1.906216792,jams,tourlousse
SRR17380243,0.028974072,0.019939855,1.889558083,jams,tourlousse
SRR17380244,0.028320244,0.019819671,1.874871656,jams,tourlousse
SRR17380245,0.029549184,0.019741907,1.87045481,jams,tourlousse
SRR17380246,0.029385372,0.019896778,1.890829043,jams,tourlousse
SRR17380241,0.04789269,0.022863158,4.208982341,wgsa,tourlousse
SRR17380242,0.049410257,0.023094737,4.216709102,wgsa,tourlousse
SRR17380243,0.047785059,0.022889474,4.213777393,wgsa,tourlousse
SRR17380244,0.046651014,0.022852632,4.212181991,wgsa,tourlousse
SRR17380245,0.047478888,0.022805263,4.210552904,wgsa,tourlousse
SRR17380246,0.047185189,0.022815789,4.210532249,wgsa,tourlousse
SRR17380241,0.062549637,0.033840138,4.190405576,woltka,tourlousse
SRR17380242,0.065214828,0.033602916,4.174570421,woltka,tourlousse
SRR17380243,0.06242044,0.03388681,4.192020781,woltka,tourlousse
SRR17380244,0.060824289,0.034024489,4.200777516,woltka,tourlousse
SRR17380245,0.061033116,0.034054489,4.215050676,woltka,tourlousse
SRR17380246,0.061437035,0.034027334,4.207317265,woltka,tourlousse
s1,0.995756629,0.004569622,1.483931694,bio4,camisimGI
s1,0.999568697,0.001356486,15.34346545,jams,camisimGI
s1,0.999642729,0.00043468,5.401302547,wgsa,camisimGI
s1,0.959500385,0.002587189,33.17455157,woltka,camisimGI
s2,0.966081966,0.007736711,0.440203585,bio4,camisimGI
s2,0.958259945,0.012507677,12.43409775,jams,camisimGI
s2,0.976468342,0.00158999,3.643546498,wgsa,camisimGI
s2,0.788909592,0.007181899,30.31441129,woltka,camisimGI
