SampleID,Diversity,R^2,MAE,AD,1-BC,RMSE,Sens,FPRA,Pipeline,threshold,Source,Run
S1,9,0.9054,0.0304,5.4066,0.8631,0.0463,75.0,1.1781,biobakery4,0.0001,bmock12,0
S1,16,0.9967,0.0044,7.0785,0.9649,0.0062,87.5,1.5896,jams,0.0001,bmock12,0
S1,59,0.6944,0.0082,10.7357,0.7567,0.0346,87.5,2.094,wgsa2,0.0001,bmock12,0
S1,56,0.6253,0.0204,10.1823,0.4276,0.08,87.5,4.048,woltka,0.0001,bmock12,0
EG,14,0.5175,0.0235,8.9446,0.8352,0.0347,92.8571,0.0,biobakery4,0.0001,nist,0
EG,16,0.4279,0.024,9.4412,0.8078,0.0376,100.0,0.0163,jams,0.0001,nist,0
EG,17,0.7056,0.0168,5.3901,0.8573,0.0249,100.0,0.0855,wgsa2,0.0001,nist,0
EG,104,0.4903,0.0077,11.1962,0.6005,0.026,100.0,5.8083,woltka,0.0001,nist,0
MIX-A,11,0.9985,0.0041,2.8426,0.9775,0.0057,90.9091,0.0,biobakery4,0.0001,nist,0
MIX-A,12,0.8013,0.0345,10.5951,0.7929,0.0656,72.7273,0.0,jams,0.0001,nist,0
MIX-A,16,0.9918,0.0066,5.0974,0.9472,0.0127,100.0,0.2011,wgsa2,0.0001,nist,0
MIX-A,71,0.5211,0.0129,13.579,0.5432,0.048,100.0,20.819,woltka,0.0001,nist,0
MIX-B,11,0.9765,0.0146,6.4866,0.9199,0.02,72.7273,0.0,biobakery4,0.0001,nist,0
MIX-B,12,0.9606,0.0196,11.0041,0.8822,0.0278,81.8182,0.0,jams,0.0001,nist,0
MIX-B,15,0.9723,0.0123,6.6488,0.9078,0.0206,100.0,0.0593,wgsa2,0.0001,nist,0
MIX-B,98,0.8437,0.0068,15.5091,0.6677,0.0236,100.0,13.234,woltka,0.0001,nist,0
MIX-C,12,0.1643,0.0749,11.569,0.5504,0.1363,63.6364,32.3094,biobakery4,0.0001,nist,0
MIX-C,13,0.3881,0.0629,14.9307,0.5911,0.1035,90.9091,22.3975,jams,0.0001,nist,0
MIX-C,17,0.4554,0.0463,10.0073,0.6068,0.1016,100.0,8.6894,wgsa2,0.0001,nist,0
MIX-C,90,0.263,0.0106,14.3534,0.5224,0.05,100.0,44.9789,woltka,0.0001,nist,0
MIX-D,12,0.9611,0.0117,4.1098,0.9301,0.0254,72.7273,0.1024,biobakery4,0.0001,nist,0
MIX-D,13,0.8884,0.0231,10.7794,0.8501,0.0445,90.9091,0.0207,jams,0.0001,nist,0
MIX-D,13,0.8865,0.021,6.138,0.8632,0.0452,100.0,0.1668,wgsa2,0.0001,nist,0
MIX-D,49,0.7181,0.0119,9.4342,0.7078,0.0426,100.0,1.4004,woltka,0.0001,nist,0
S1,18,1.0,0.0005,0.1831,0.9956,0.0008,100.0,0.0,biobakery4,0.0001,camisimGI,0
S1,22,0.9956,0.0045,11.7126,0.9505,0.0082,94.4444,0.818,jams,0.0001,camisimGI,0
S1,24,0.9967,0.0034,8.959,0.9592,0.0068,94.4444,0.1192,wgsa2,0.0001,camisimGI,0
S1,47,0.9377,0.0067,22.3954,0.8436,0.0221,94.4444,2.6435,woltka,0.0001,camisimGI,0
S2,12,0.9518,0.0147,0.966,0.9115,0.0297,100.0,0.0,biobakery4,0.0001,camisimGI,0
S2,13,0.9526,0.015,3.4164,0.9022,0.0256,100.0,0.0,jams,0.0001,camisimGI,0
S2,13,0.9665,0.0125,1.2277,0.919,0.0215,100.0,0.0,wgsa2,0.0001,camisimGI,0
S2,40,0.7666,0.0148,25.5425,0.704,0.0447,75.0,1.7589,woltka,0.0001,camisimGI,0
