SampleID,Diversity,R^2,MAE,AD,1-BC,RMSE,Sens,FPRA,Pipeline,threshold,Source,Run
SRR11487937,16,0.6204,0.0041,4.4146,0.834,0.0058,100.0,3.7288,biobakery4,0.001,mixed,0
SRR11487938,16,0.6175,0.0043,4.4294,0.8279,0.006,100.0,3.5307,biobakery4,0.001,mixed,0
SRR11487939,16,0.6075,0.0042,4.5111,0.8297,0.0061,100.0,3.8263,biobakery4,0.001,mixed,0
SRR11487940,16,0.619,0.0041,4.4546,0.8336,0.0058,100.0,3.8274,biobakery4,0.001,mixed,0
SRR11487941,16,0.6108,0.0042,4.5058,0.8323,0.006,100.0,3.9191,biobakery4,0.001,mixed,0
SRR11487937,18,0.5359,0.0048,8.9807,0.785,0.0059,100.0,3.7839,jams202212,0.001,mixed,0
SRR11487938,18,0.5406,0.0048,8.6366,0.7864,0.0059,93.75,3.5491,jams202212,0.001,mixed,0
SRR11487939,18,0.5497,0.0047,8.3659,0.7866,0.0059,93.75,3.7258,jams202212,0.001,mixed,0
SRR11487940,18,0.5452,0.0047,8.8969,0.7883,0.0058,100.0,3.6016,jams202212,0.001,mixed,0
SRR11487941,18,0.5412,0.0048,8.4097,0.7862,0.0059,93.75,3.7832,jams202212,0.001,mixed,0
SRR11487931,16,0.9188,0.0043,6.2946,0.8293,0.0084,100.0,0.6468,biobakery4,0.001,hilo,0
SRR11487932,16,0.9152,0.0044,6.474,0.8223,0.0085,100.0,0.7528,biobakery4,0.001,hilo,0
SRR11487933,16,0.9274,0.004,6.5413,0.8394,0.0077,100.0,0.8422,biobakery4,0.001,hilo,0
SRR11487934,16,0.922,0.0042,6.4975,0.8326,0.008,100.0,0.7781,biobakery4,0.001,hilo,0
SRR11487935,16,0.9289,0.004,6.7015,0.8381,0.0076,100.0,0.9054,biobakery4,0.001,hilo,0
SRR11487931,17,0.9047,0.004,9.8974,0.8294,0.0066,100.0,0.5498,jams202212,0.001,hilo,0
SRR11487932,17,0.8991,0.0041,9.5916,0.8277,0.0067,100.0,0.6448,jams202212,0.001,hilo,0
SRR11487933,16,0.9112,0.004,8.17,0.84,0.0063,100.0,0.4543,jams202212,0.001,hilo,0
SRR11487934,17,0.9039,0.0039,9.6921,0.8322,0.0064,100.0,0.5802,jams202212,0.001,hilo,0
SRR11487935,16,0.9164,0.004,8.4476,0.8415,0.0061,100.0,0.4483,jams202212,0.001,hilo,0
SRR17380241,19,0.2874,0.0015,4.6327,0.9148,0.0029,100.0,6.3568,biobakery4,0.001,tourlousse,0
SRR17380242,19,0.2894,0.0015,4.6353,0.9141,0.0029,100.0,6.3653,biobakery4,0.001,tourlousse,0
SRR17380243,19,0.2876,0.0015,4.6358,0.915,0.0029,100.0,6.4018,biobakery4,0.001,tourlousse,0
SRR17380244,19,0.2907,0.0014,4.6343,0.9173,0.0029,100.0,6.3937,biobakery4,0.001,tourlousse,0
SRR17380245,19,0.274,0.0014,4.6437,0.9185,0.0029,100.0,6.4467,biobakery4,0.001,tourlousse,0
SRR17380246,19,0.2911,0.0015,4.6254,0.9163,0.0029,100.0,6.3387,biobakery4,0.001,tourlousse,0
SRR17380241,19,0.0297,0.0033,1.8882,0.8104,0.0039,100.0,0.0,jams202212,0.001,tourlousse,0
SRR17380242,19,0.0301,0.0033,1.9109,0.8093,0.0039,100.0,0.0,jams202212,0.001,tourlousse,0
SRR17380243,19,0.0297,0.0034,1.8994,0.8087,0.0039,100.0,0.0,jams202212,0.001,tourlousse,0
SRR17380244,19,0.0277,0.0033,1.8866,0.8094,0.0039,100.0,0.0,jams202212,0.001,tourlousse,0
SRR17380245,19,0.0299,0.0033,1.8728,0.8112,0.0038,100.0,0.0,jams202212,0.001,tourlousse,0
SRR17380246,19,0.0277,0.0033,1.8887,0.8096,0.0039,100.0,0.0,jams202212,0.001,tourlousse,0
