SampleID,Diversity,R^2,MAE,AD,1-BC,RMSE,Sens,FPRA,Pipeline,threshold,Source,Run
SRR11487937,19,0.6104,0.0172,1.9325,0.8362,0.0264,100.0,0.0,biobakery4,0.0001,mixed,0
SRR11487938,19,0.6096,0.0179,2.0494,0.8295,0.0276,100.0,0.0,biobakery4,0.0001,mixed,0
SRR11487939,19,0.6052,0.0175,2.0536,0.8341,0.0273,100.0,0.0,biobakery4,0.0001,mixed,0
SRR11487940,19,0.6161,0.017,1.9498,0.8385,0.0263,100.0,0.0,biobakery4,0.0001,mixed,0
SRR11487941,19,0.6111,0.0172,2.0105,0.8366,0.0269,100.0,0.0,biobakery4,0.0001,mixed,0
SRR11487937,51,0.5843,0.0101,10.6105,0.7428,0.0211,100.0,10.8453,jams202212,0.0001,mixed,0
SRR11487938,54,0.621,0.0093,10.8843,0.7502,0.0197,100.0,9.5623,jams202212,0.0001,mixed,0
SRR11487939,55,0.5313,0.0096,11.3987,0.7351,0.0228,100.0,13.2933,jams202212,0.0001,mixed,0
SRR11487940,50,0.6238,0.0097,9.8008,0.7564,0.02,100.0,9.3152,jams202212,0.0001,mixed,0
SRR11487941,57,0.6092,0.0088,11.3535,0.7494,0.0198,100.0,10.6425,jams202212,0.0001,mixed,0
SRR11487931,19,0.9202,0.0189,2.7055,0.8205,0.0397,100.0,0.0,biobakery4,0.0001,hilo,0
SRR11487932,19,0.9183,0.0193,2.7692,0.8164,0.0397,100.0,0.0,biobakery4,0.0001,hilo,0
SRR11487933,19,0.9283,0.0177,2.6827,0.8318,0.0364,100.0,0.0,biobakery4,0.0001,hilo,0
SRR11487934,19,0.9237,0.0184,2.6704,0.8256,0.0376,100.0,0.0,biobakery4,0.0001,hilo,0
SRR11487935,19,0.9309,0.0176,2.7348,0.8326,0.0359,100.0,0.0,biobakery4,0.0001,hilo,0
SRR11487931,30,0.9013,0.0133,12.8402,0.8011,0.0263,100.0,2.8015,jams202212,0.0001,hilo,0
SRR11487932,28,0.8975,0.0142,13.2472,0.8014,0.0274,94.7368,2.5902,jams202212,0.0001,hilo,0
SRR11487933,31,0.9089,0.0123,11.9854,0.8099,0.0241,100.0,2.7276,jams202212,0.0001,hilo,0
SRR11487934,30,0.9013,0.0131,12.5519,0.8041,0.0256,100.0,2.6658,jams202212,0.0001,hilo,0
SRR11487935,29,0.9136,0.0129,12.5526,0.8123,0.0244,100.0,2.7089,jams202212,0.0001,hilo,0
SRR17380241,20,0.3281,0.0096,3.8092,0.9043,0.0169,94.7368,4.7301,biobakery4,0.0001,tourlousse,0
SRR17380242,20,0.3288,0.0099,3.8478,0.9008,0.017,94.7368,4.7592,biobakery4,0.0001,tourlousse,0
SRR17380243,20,0.3319,0.0096,3.8206,0.9042,0.0168,94.7368,4.7396,biobakery4,0.0001,tourlousse,0
SRR17380244,20,0.3375,0.0094,3.7895,0.9058,0.0168,94.7368,4.6947,biobakery4,0.0001,tourlousse,0
SRR17380245,20,0.3249,0.0095,3.8067,0.9054,0.0169,94.7368,4.7237,biobakery4,0.0001,tourlousse,0
SRR17380246,20,0.3355,0.0094,3.7761,0.9059,0.0167,94.7368,4.6524,biobakery4,0.0001,tourlousse,0
SRR17380241,34,0.5456,0.0141,8.5941,0.7602,0.0201,100.0,9.977,jams202212,0.0001,tourlousse,0
SRR17380242,33,0.5341,0.0145,7.9152,0.7615,0.0204,100.0,9.8127,jams202212,0.0001,tourlousse,0
SRR17380243,35,0.5727,0.0136,7.8318,0.7625,0.0194,100.0,9.5836,jams202212,0.0001,tourlousse,0
SRR17380244,33,0.549,0.0144,7.8213,0.7631,0.02,100.0,9.4263,jams202212,0.0001,tourlousse,0
SRR17380245,36,0.5754,0.0133,8.594,0.7613,0.0194,100.0,9.8442,jams202212,0.0001,tourlousse,0
SRR17380246,38,0.5953,0.0127,9.2907,0.7593,0.0187,100.0,10.077,jams202212,0.0001,tourlousse,0
