SampleID,Diversity,R^2,MAE,AD,1-BC,RMSE,Sens,FPRA,Unclassified,Num_FP,threshold,Source,Pipeline,Run
S1,8,0.0127,0.1772,11.4763,0.2912,0.2573,62.5,0.0,0.0,0.0,0.0001,bmock12,biobakery3,0
S1,9,0.9054,0.0304,5.4066,0.8631,0.0463,75.0,1.1781,0.0,1.0,0.0001,bmock12,biobakery4,0
S1,16,0.9967,0.0044,7.0785,0.9649,0.0062,87.5,1.5896,0.0068128299123379,8.0,0.0001,bmock12,jams,0
S1,59,0.6944,0.0082,10.7357,0.7567,0.0346,87.5,2.094,0.221606053327923,51.0,0.0001,bmock12,wgsa2,0
S1,56,0.6253,0.0204,10.1823,0.4276,0.08,87.5,4.048,0.0,48.0,0.0001,bmock12,woltka,0
EG,14,0.5049,0.0229,6.2553,0.84,0.0342,85.7143,0.0,0.0,0.0,0.0001,nist,biobakery3,0
EG,14,0.5175,0.0235,8.9446,0.8352,0.0347,92.8571,0.0,0.0,0.0,0.0001,nist,biobakery4,0
EG,16,0.4279,0.024,9.4412,0.8078,0.0376,100.0,0.0163,0.0493879645532596,2.0,0.0001,nist,jams,0
EG,17,0.7056,0.0168,5.3901,0.8573,0.0249,100.0,0.0855,0.0040319454585216,3.0,0.0001,nist,wgsa2,0
EG,105,0.4905,0.0076,11.313,0.6002,0.0259,100.0,5.7998,0.0014700493481322,91.0,0.0001,nist,woltka,0
MIX-A,11,0.9901,0.0077,4.3768,0.9579,0.0142,81.8182,0.0,0.0,0.0,0.0001,nist,biobakery3,0
MIX-A,11,0.9985,0.0041,2.8426,0.9775,0.0057,90.9091,0.0,0.0,0.0,0.0001,nist,biobakery4,0
MIX-A,12,0.8013,0.0345,10.5951,0.7929,0.0656,72.7273,0.0,0.018234765860166,1.0,0.0001,nist,jams,0
MIX-A,16,0.9918,0.0066,5.0974,0.9472,0.0127,100.0,0.2011,0.0013564451462096,5.0,0.0001,nist,wgsa2,0
MIX-A,72,0.5213,0.0127,13.6116,0.543,0.0477,100.0,20.8021,0.000812844975787,61.0,0.0001,nist,woltka,0
MIX-B,11,0.7377,0.0424,6.763,0.7668,0.0731,72.7273,0.0,0.0,0.0,0.0001,nist,biobakery3,0
MIX-B,11,0.9765,0.0146,6.4866,0.9199,0.02,72.7273,0.0,0.0,0.0,0.0001,nist,biobakery4,0
MIX-B,12,0.9606,0.0196,11.0041,0.8822,0.0278,81.8182,0.0,0.0207267203177862,1.0,0.0001,nist,jams,0
MIX-B,15,0.9723,0.0123,6.6488,0.9078,0.0206,100.0,0.0593,0.0011076828617624,4.0,0.0001,nist,wgsa2,0
MIX-B,99,0.8437,0.0068,15.6489,0.6656,0.0235,100.0,13.1904,0.0032945420119849,88.0,0.0001,nist,woltka,0
MIX-C,12,0.2631,0.0548,11.6858,0.671,0.12,63.6364,29.4877,0.0,1.0,0.0001,nist,biobakery3,0
MIX-C,12,0.1643,0.0749,11.569,0.5504,0.1363,63.6364,32.3094,0.0,1.0,0.0001,nist,biobakery4,0
MIX-C,13,0.3881,0.0629,14.9307,0.5911,0.1035,90.9091,22.3975,0.0473248518473332,2.0,0.0001,nist,jams,0
MIX-C,17,0.4554,0.0463,10.0073,0.6068,0.1016,100.0,8.6894,0.0019755603887746,6.0,0.0001,nist,wgsa2,0
MIX-C,90,0.263,0.0106,14.3671,0.5219,0.05,100.0,44.9179,0.0012331792664717,79.0,0.0001,nist,woltka,0
MIX-D,11,0.9451,0.0163,1.1261,0.9103,0.0313,72.7273,0.0,0.0,0.0,0.0001,nist,biobakery3,0
MIX-D,12,0.9611,0.0117,4.1098,0.9301,0.0254,72.7273,0.1024,0.0,1.0,0.0001,nist,biobakery4,0
MIX-D,13,0.8884,0.0231,10.7794,0.8501,0.0445,90.9091,0.0207,0.0139902451318166,2.0,0.0001,nist,jams,0
MIX-D,13,0.8865,0.021,6.138,0.8632,0.0452,100.0,0.1668,0.0018892886677106,2.0,0.0001,nist,wgsa2,0
MIX-D,50,0.7184,0.0117,9.4508,0.7078,0.0422,100.0,1.4,0.000306819853792,39.0,0.0001,nist,woltka,0
S1,18,0.9923,0.0081,11.3385,0.9275,0.0149,94.4444,0.0,0.0,0.0,0.0001,camisimGI,biobakery3,0
S1,18,1.0,0.0005,0.1831,0.9956,0.0008,100.0,0.0,0.0,0.0,0.0001,camisimGI,biobakery4,0
S1,22,0.9956,0.0045,11.7126,0.9505,0.0082,94.4444,0.818,0.0086806094035932,4.0,0.0001,camisimGI,jams,0
S1,24,0.9967,0.0034,8.959,0.9592,0.0068,94.4444,0.1192,0.0074982767673535,6.0,0.0001,camisimGI,wgsa2,0
S1,48,0.9378,0.0065,22.4064,0.8436,0.0219,94.4444,2.643,0.0001764646463259,30.0,0.0001,camisimGI,woltka,0
S2,13,0.9563,0.0141,5.6829,0.9082,0.0249,83.3333,0.4089,0.0,1.0,0.0001,camisimGI,biobakery3,0
S2,12,0.9518,0.0147,0.966,0.9115,0.0297,100.0,0.0,0.0,0.0,0.0001,camisimGI,biobakery4,0
S2,13,0.9526,0.015,3.4164,0.9022,0.0256,100.0,0.0,0.0048927877388258,1.0,0.0001,camisimGI,jams,0
S2,13,0.9665,0.0125,1.2277,0.919,0.0215,100.0,0.0,0.0006175828568146,1.0,0.0001,camisimGI,wgsa2,0
S2,41,0.7669,0.0145,25.7404,0.7036,0.0441,75.0,1.756,0.0016444344319396,29.0,0.0001,camisimGI,woltka,0
