SampleID,Diversity,R^2,MAE,AD,1-BC,RMSE,Sens,FPRA,Unclassified,Num_FP,Pipeline,threshold,Source
SRR11487937,20,0.2709,0.0241,8.4807,0.7588,0.0313,94.7368,3.9799,0.0,1.0,biobakery3,0.0001,mixed
SRR11487938,20,0.3283,0.0234,7.8474,0.766,0.0306,94.7368,3.4926,0.0,1.0,biobakery3,0.0001,mixed
SRR11487939,20,0.2666,0.0237,9.5833,0.7625,0.0316,94.7368,3.9371,0.0,1.0,biobakery3,0.0001,mixed
SRR11487940,20,0.2909,0.023,8.3586,0.7696,0.0308,94.7368,4.0588,0.0,1.0,biobakery3,0.0001,mixed
SRR11487941,20,0.301,0.0235,9.5672,0.7648,0.0312,94.7368,3.8522,0.0,1.0,biobakery3,0.0001,mixed
SRR11487937,19,0.6104,0.0172,1.9325,0.8362,0.0264,100.0,0.0,0.0,0.0,biobakery4,0.0001,mixed
SRR11487938,19,0.6096,0.0179,2.0494,0.8295,0.0276,100.0,0.0,0.0,0.0,biobakery4,0.0001,mixed
SRR11487939,19,0.6052,0.0175,2.0536,0.8341,0.0273,100.0,0.0,0.0,0.0,biobakery4,0.0001,mixed
SRR11487940,19,0.6161,0.017,1.9498,0.8385,0.0263,100.0,0.0,0.0,0.0,biobakery4,0.0001,mixed
SRR11487941,19,0.6111,0.0172,2.0105,0.8366,0.0269,100.0,0.0,0.0,0.0,biobakery4,0.0001,mixed
SRR11487937,45,0.605,0.0105,10.2247,0.7633,0.0211,100.0,2.2065,0.0732463803855642,26.0,jams,0.0001,mixed
SRR11487938,45,0.6213,0.0104,9.9119,0.7661,0.0207,100.0,2.2311,0.0645267278650164,26.0,jams,0.0001,mixed
SRR11487939,46,0.5435,0.0106,10.714,0.7571,0.0235,100.0,1.9191,0.1025812069038158,27.0,jams,0.0001,mixed
SRR11487940,47,0.6334,0.0098,10.487,0.7695,0.0201,100.0,2.1446,0.06545540533635,28.0,jams,0.0001,mixed
SRR11487941,48,0.6133,0.0098,10.7772,0.7648,0.0207,100.0,2.1263,0.0756777780228109,29.0,jams,0.0001,mixed
SRR11487937,21,0.2511,0.0236,5.4314,0.7527,0.0318,100.0,1.6346,0.0654028896571116,2.0,jams202212,0.0001,mixed
SRR11487938,21,0.2885,0.0229,5.1682,0.7591,0.0307,100.0,1.5825,0.0547269173040917,2.0,jams202212,0.0001,mixed
SRR11487939,21,0.2058,0.0243,5.8226,0.7445,0.0349,100.0,1.4222,0.0911193751553824,2.0,jams202212,0.0001,mixed
SRR11487940,21,0.3077,0.0223,5.0485,0.7662,0.0301,100.0,1.5785,0.0510360317545592,2.0,jams202212,0.0001,mixed
SRR11487941,21,0.2781,0.0229,5.2187,0.7598,0.0313,100.0,1.4454,0.0636936606663891,2.0,jams202212,0.0001,mixed
SRR11487937,76,0.5552,0.0088,15.1587,0.6663,0.0213,89.4737,4.7601,0.0817850478493842,57.0,sunbeam,0.0001,mixed
SRR11487938,73,0.5539,0.0091,14.9682,0.6662,0.022,89.4737,4.6028,0.0791009708808306,54.0,sunbeam,0.0001,mixed
SRR11487939,75,0.5551,0.0089,15.0206,0.6654,0.0216,89.4737,4.6236,0.0815336929588632,56.0,sunbeam,0.0001,mixed
SRR11487940,74,0.5569,0.009,15.0879,0.6676,0.0217,89.4737,4.6344,0.0791223464295886,55.0,sunbeam,0.0001,mixed
SRR11487941,72,0.5538,0.0093,14.8797,0.6669,0.0221,89.4737,4.5859,0.0801067611242704,53.0,sunbeam,0.0001,mixed
SRR11487937,66,0.5533,0.0091,14.8848,0.7,0.0213,89.4737,4.5585,0.0967028082012471,47.0,wgsa2,0.0001,mixed
SRR11487938,65,0.5554,0.0092,14.8174,0.7008,0.0215,89.4737,4.4073,0.0953005010061191,46.0,wgsa2,0.0001,mixed
SRR11487939,66,0.5563,0.0091,14.8343,0.7003,0.0214,89.4737,4.4113,0.0964263966193285,47.0,wgsa2,0.0001,mixed
SRR11487940,64,0.5549,0.0093,14.7989,0.7015,0.0216,89.4737,4.6057,0.0951075796619149,45.0,wgsa2,0.0001,mixed
SRR11487941,65,0.5557,0.0092,14.7433,0.7017,0.0215,89.4737,4.3873,0.0959380878212765,46.0,wgsa2,0.0001,mixed
SRR11487937,228,0.5013,0.0035,20.4395,0.6003,0.0114,94.7368,27.0437,0.0,209.0,woltka,0.0001,mixed
SRR11487938,229,0.4956,0.0035,20.5033,0.5964,0.0115,94.7368,27.5548,0.0,210.0,woltka,0.0001,mixed
SRR11487939,229,0.5032,0.0035,20.4922,0.6029,0.0114,94.7368,27.0753,0.0,210.0,woltka,0.0001,mixed
