SampleID,Diversity,R^2,MAE,AD,1-BC,RMSE,Sens,FPRA,Unclassified,Num_FP,Pipeline,threshold,Source,Run
S1,15,0.1578,0.0973,22.1457,0.2702,0.1716,33.3333,2.6303,0.0,3.0,biobakery3,0.0001,bmock12,0
S1,14,0.2588,0.067,16.8327,0.5313,0.1029,58.3333,17.9266,0.0,2.0,biobakery4,0.0001,bmock12,0
S1,43,0.1446,0.0295,33.7177,0.3656,0.0629,50.0,50.0438,0.013231678827408,31.0,jams,0.0001,bmock12,0
S1,84,0.0697,0.0163,44.16,0.3159,0.0494,50.0,37.3442,0.2852785106375292,72.0,wgsa2,0.0001,bmock12,0
S1,110,0.2503,0.0146,42.1407,0.1949,0.0726,8.3333,11.9647,0.0,98.0,woltka,0.0001,bmock12,0
EG,19,0.6417,0.0194,10.1826,0.8161,0.0301,85.7143,2.6645,0.0,5.0,biobakery3,0.0001,nist,0
EG,14,0.5175,0.0235,8.9446,0.8352,0.0347,92.8571,0.0,0.0,0.0,biobakery4,0.0001,nist,0
EG,25,0.3531,0.0229,12.2531,0.7135,0.0438,92.8571,0.2104,0.1569956363381312,11.0,jams,0.0001,nist,0
EG,28,0.6301,0.0185,10.6638,0.7412,0.0322,100.0,1.1601,0.0059205479289126,14.0,wgsa2,0.0001,nist,0
EG,240,0.3471,0.0046,22.5953,0.4494,0.0194,85.7143,26.4802,0.0,226.0,woltka,0.0001,nist,0
MIX-A,15,0.9899,0.0067,9.5852,0.9494,0.0127,81.8182,0.8464,0.0,4.0,biobakery3,0.0001,nist,0
MIX-A,11,0.9985,0.0041,2.8426,0.9775,0.0057,90.9091,0.0,0.0,0.0,biobakery4,0.0001,nist,0
MIX-A,14,0.8022,0.0325,12.3527,0.7725,0.0617,72.7273,0.052,0.0395475817472083,3.0,jams,0.0001,nist,0
MIX-A,25,0.7138,0.0193,6.9975,0.7593,0.0598,100.0,0.6781,0.0023922199955124,14.0,wgsa2,0.0001,nist,0
MIX-A,139,0.4367,0.008,19.242,0.4422,0.0374,90.9091,30.9152,0.0,128.0,woltka,0.0001,nist,0
MIX-B,16,0.7078,0.032,13.6522,0.7439,0.0632,72.7273,11.4154,0.0,5.0,biobakery3,0.0001,nist,0
MIX-B,12,0.9774,0.0134,9.814,0.9197,0.0191,72.7273,0.0141,0.0,1.0,biobakery4,0.0001,nist,0
MIX-B,15,0.9541,0.0168,13.5504,0.8743,0.0262,81.8182,0.2655,0.0484573168657752,4.0,jams,0.0001,nist,0
MIX-B,28,0.9675,0.008,13.0792,0.8885,0.0171,100.0,1.0866,0.0025255839466411,17.0,wgsa2,0.0001,nist,0
MIX-B,191,0.7597,0.005,22.8751,0.5217,0.0212,90.9091,31.0568,0.0,180.0,woltka,0.0001,nist,0
MIX-C,14,0.2719,0.0507,14.1087,0.6453,0.1118,63.6364,32.0567,0.0,3.0,biobakery3,0.0001,nist,0
MIX-C,12,0.1643,0.0749,11.569,0.5504,0.1363,63.6364,32.3094,0.0,1.0,biobakery4,0.0001,nist,0
MIX-C,18,0.4238,0.0472,17.1601,0.5748,0.089,90.9091,22.3335,0.0642473330738856,7.0,jams,0.0001,nist,0
MIX-C,27,0.4632,0.0309,14.702,0.5827,0.0836,100.0,9.162,0.002233973706629,16.0,wgsa2,0.0001,nist,0
MIX-C,147,0.062,0.0097,24.1026,0.2866,0.0478,81.8182,69.1682,0.0,136.0,woltka,0.0001,nist,0
MIX-D,12,0.9471,0.0151,4.1345,0.9097,0.0299,72.7273,0.0607,0.0,1.0,biobakery3,0.0001,nist,0
MIX-D,12,0.9611,0.0117,4.1098,0.9301,0.0254,72.7273,0.1024,0.0,1.0,biobakery4,0.0001,nist,0
MIX-D,13,0.8862,0.0247,11.2166,0.8397,0.0446,81.8182,0.0194,0.0285880945139032,2.0,jams,0.0001,nist,0
MIX-D,17,0.8928,0.0173,8.9316,0.8534,0.0413,100.0,0.2506,0.0020430336276192,6.0,wgsa2,0.0001,nist,0
MIX-D,131,0.6511,0.0053,21.1155,0.6508,0.0288,81.8182,13.1948,0.0,120.0,woltka,0.0001,nist,0
S1,41,0.9939,0.0024,8.6188,0.9511,0.0052,100.0,0.5265,0.0,3.0,biobakery3,0.0001,camisimGI,0
S1,41,0.9868,0.0027,12.7647,0.9456,0.0062,89.4737,3.0566,0.0,3.0,biobakery4,0.0001,camisimGI,0
S1,51,0.9539,0.0048,15.0361,0.8765,0.0097,97.3684,1.4388,0.022530659379655,13.0,jams,0.0001,camisimGI,0
S1,59,0.7585,0.0065,13.4764,0.8082,0.0209,97.3684,2.0432,0.0087779108031571,21.0,wgsa2,0.0001,camisimGI,0
S1,93,0.7576,0.0067,30.7596,0.6882,0.0171,86.8421,8.5091,0.0,55.0,woltka,0.0001,camisimGI,0
S2,22,0.9606,0.0067,1.2308,0.9264,0.0185,100.0,0.0586,0.0,1.0,biobakery3,0.0001,camisimGI,0
S2,22,0.9243,0.0113,7.1138,0.8757,0.0243,95.2381,3.8344,0.0,1.0,biobakery4,0.0001,camisimGI,0
S2,25,0.943,0.0095,4.8525,0.8818,0.0185,100.0,0.2055,0.0084543008466307,4.0,jams,0.0001,camisimGI,0
S2,45,0.7143,0.0095,6.3786,0.7868,0.0328,100.0,3.9102,0.0007626288976952,24.0,wgsa2,0.0001,camisimGI,0
S2,96,0.7546,0.0073,25.8766,0.6489,0.0215,80.9524,30.6668,0.0,75.0,woltka,0.0001,camisimGI,0
