SampleID,Diversity,R^2,MAE,AD,1-BC,RMSE,Sens,FPRA,Pipeline,threshold,Source,combined_name,num_seqs,sum_len,min_len,avg_len,max_len,num_seqs_stddev,sum_len_stddev,min_len_stddev,avg_len_stddev,max_len_stddev
S1,15.0,0.1578,0.0973,25.9132,0.2702,0.1716,33.3333,2.6303,biobakery4,0.0,bmock12,S1_bmock12,100500000.00 ,15175500000.00 ,151.00 ,151.00 ,151.00 , 0.00, 0.00, 0.00, 0.00, 0.00
S1,42.0,0.9939,0.0023,8.6524,0.9511,0.0052,100.0,0.5299,biobakery4,0.0,camisimGI,S1_camisimGI,16666158.00 ,2473504212.50 ,31.00 ,148.45 ,150.00 , 0.00, 12668039.31, 0.00, 0.78, 0.00
S2,23.0,0.9609,0.0066,3.5362,0.9239,0.0181,95.2381,0.3264,biobakery4,0.0,camisimGI,S2_camisimGI,16666291.00 ,2473723888.00 ,31.00 ,148.45 ,150.00 , 0.00, 12664634.59, 0.00, 0.78, 0.00
,17.4,0.9065999999999999,0.0030800000000000003,5.549460000000001,0.866,0.0059,100.0,0.01106,biobakery4,0.0,hilo,hilo,1899005.80 ,380831440.00 ,100.00 ,200.54 ,205.00 , 172132.60, 34742124.05, 0.00, 1.93, 0.00
,19.0,0.29650000000000004,0.004440000000000001,6.10042,0.7875400000000001,0.0061200000000000004,100.0,3.8641199999999998,biobakery4,0.0,mixed,mixed,2012091.00 ,403848279.20 ,100.00 ,200.71 ,205.00 , 184747.85, 37416661.58, 0.00, 1.55, 0.00
EG,21.0,0.131,0.0332,16.591,0.6519,0.0524,71.4286,26.6753,biobakery4,0.0,nist,EG_nist,3353278.00 ,282025983.00 ,15.00 ,84.10 ,151.00 , 0.00, 3833426.68, 0.00, 1.13, 0.00
MIX-A,17.0,0.2808,0.0446,18.2535,0.6211,0.1121,63.6364,37.807,biobakery4,0.0,nist,MIX-A_nist,3473553.00 ,365925482.50 ,19.00 ,105.35 ,151.00 , 0.00, 2529868.96, 5.66, 0.78, 0.00
MIX-B,18.0,0.0968,0.0619,20.701,0.443,0.1258,54.5455,52.6298,biobakery4,0.0,nist,MIX-B_nist,3583192.00 ,376371686.50 ,18.50 ,105.05 ,151.00 , 0.00, 2769876.56, 4.95, 0.78, 0.00
MIX-C,14.0,0.2719,0.0507,15.5841,0.6453,0.1118,63.6364,32.0567,biobakery4,0.0,nist,MIX-C_nist,2974354.00 ,325816856.00 ,16.50 ,109.55 ,151.00 , 0.00, 2268975.55, 2.12, 0.78, 0.00
MIX-D,13.0,0.9395,0.0182,11.4068,0.8819,0.0312,63.6364,3.5469,biobakery4,0.0,nist,MIX-D_nist,3278203.00 ,373347674.50 ,20.00 ,113.85 ,151.00 , 0.00, 2103394.48, 7.07, 0.64, 0.00
,24.5,0.7288333333333333,0.0017666666666666666,8.224283333333334,0.8671166666666666,0.0029999999999999996,100.0,12.230833333333335,biobakery4,0.0,tourlousse,tourlousse,5897627.83 ,855639825.08 ,15.00 ,145.12 ,151.00 , 378678.85, 51884672.55, 0.00, 1.31, 0.00
S1,66.0,0.1721,0.0192,39.547,0.3655,0.0508,50.0,50.0756,jams,0.0,bmock12,S1_bmock12,100500000.00 ,15175500000.00 ,151.00 ,151.00 ,151.00 , 0.00, 0.00, 0.00, 0.00, 0.00
S1,344.0,0.9644,0.0007,31.7802,0.8845,0.0036,97.3684,1.712,jams,0.0,camisimGI,S1_camisimGI,16666158.00 ,2473504212.50 ,31.00 ,148.45 ,150.00 , 0.00, 12668039.31, 0.00, 0.78, 0.00
S2,88.0,0.9525,0.0026,21.3957,0.8846,0.0098,95.2381,0.3443,jams,0.0,camisimGI,S2_camisimGI,16666291.00 ,2473723888.00 ,31.00 ,148.45 ,150.00 , 0.00, 12664634.59, 0.00, 0.78, 0.00
,75.8,0.9183199999999999,0.001,14.924759999999997,0.80962,0.00324,98.94736,0.42694,jams,0.0,hilo,hilo,1899005.80 ,380831440.00 ,100.00 ,200.54 ,205.00 , 172132.60, 34742124.05, 0.00, 1.93, 0.00
,132.6,0.7596200000000001,0.0006399999999999999,24.983659999999997,0.78786,0.00226,100.0,2.7006,jams,0.0,mixed,mixed,2012091.00 ,403848279.20 ,100.00 ,200.71 ,205.00 , 184747.85, 37416661.58, 0.00, 1.55, 0.00
EG,87.0,0.3522,0.0075,17.3776,0.672,0.0292,78.5714,25.9735,jams,0.0,nist,EG_nist,3353278.00 ,282025983.00 ,15.00 ,84.10 ,151.00 , 0.00, 3833426.68, 0.00, 1.13, 0.00
MIX-A,40.0,0.1501,0.0259,18.5744,0.4824,0.0957,54.5455,51.334,jams,0.0,nist,MIX-A_nist,3473553.00 ,365925482.50 ,19.00 ,105.35 ,151.00 , 0.00, 2529868.96, 5.66, 0.78, 0.00
MIX-B,47.0,0.3893,0.0176,17.7645,0.587,0.0664,63.6364,33.5495,jams,0.0,nist,MIX-B_nist,3583192.00 ,376371686.50 ,18.50 ,105.05 ,151.00 , 0.00, 2769876.56, 4.95, 0.78, 0.00
