Pipeline,biobakery3,biobakery3,biobakery3,biobakery4,biobakery4,jams,jams,wgsa2,wgsa2,woltka,woltka
,n,Mean,Stdev,Mean,Stdev,Mean,Stdev,Mean,Stdev,Mean,Stdev
Community,,,,,,,,,,,
BMock12,1.0,2.6303,,17.9266,,50.0438,,37.3442,,11.9647,
CamiSim S1,1.0,0.5265,,3.0566,,1.4388,,2.0432,,8.5091,
CamiSim S2,1.0,0.0586,,3.8344,,0.2055,,3.9102,,30.6668,
NIST EG,1.0,2.6645,,0.0,,0.2104,,1.1601,,26.4802,
NIST MIX-A,1.0,0.8464,,0.0,,0.052,,0.6781,,30.9152,
NIST MIX-B,1.0,11.4154,,0.0141,,0.2655,,1.0866,,31.0568,
NIST MIX-C,1.0,32.0567,,32.3094,,22.3335,,9.162,,69.1682,
NIST MIX-D,1.0,0.0607,,0.1024,,0.0194,,0.2506,,13.1948,
Amos HiLo,5.0,0.00954,0.021332088505347995,0.0,0.0,3.2694,0.1154184127425082,4.06548,0.09675984187667938,22.23968,0.20599831795429846
Amos Mixed,5.0,3.8641199999999998,0.22068109796717983,0.0,0.0,9.75528,1.4319707528437857,14.06352,0.11500611722860656,27.3918,0.30740995429556395
Tourlousse,6.0,12.225050000000001,0.1429758825816441,4.716616666666667,0.037888437110372764,9.789316666666666,0.22282946319251978,20.190933333333334,0.09390733020732006,26.144283333333334,0.248611579912656
