Pipeline,biobakery3,biobakery3,biobakery3,biobakery4,biobakery4,jams,jams,wgsa2,wgsa2,woltka,woltka
,n,Mean,Stdev,Mean,Stdev,Mean,Stdev,Mean,Stdev,Mean,Stdev
Community,,,,,,,,,,,
BMock12,1.0,3.0,,2.0,,31.0,,72.0,,98.0,
CamiSim S1,1.0,3.0,,3.0,,13.0,,21.0,,55.0,
CamiSim S2,1.0,1.0,,1.0,,4.0,,24.0,,75.0,
NIST EG,1.0,5.0,,0.0,,11.0,,14.0,,226.0,
NIST MIX-A,1.0,4.0,,0.0,,3.0,,14.0,,128.0,
NIST MIX-B,1.0,5.0,,1.0,,4.0,,17.0,,180.0,
NIST MIX-C,1.0,3.0,,1.0,,7.0,,16.0,,136.0,
NIST MIX-D,1.0,1.0,,1.0,,2.0,,6.0,,120.0,
Amos HiLo,5.0,0.2,0.4472135954999579,0.0,0.0,8.2,0.8366600265340756,21.8,1.6431676725154984,117.2,1.9235384061671335
Amos Mixed,5.0,1.0,0.0,0.0,0.0,27.2,1.3038404810405302,46.2,0.8366600265340753,212.4,3.9115214431215906
Tourlousse,6.0,7.833333333333333,0.40824829046386313,1.0,0.0,14.166666666666666,2.1369760566432805,35.166666666666664,0.408248290463864,239.0,3.286335345030997
