,FPRA,FPRA,FPRA,FPRA,FPRA,Sens,Sens,Sens,Sens,Sens,AD,AD,AD,AD,AD
Pipeline,biobakery3,biobakery4,jams,wgsa2,woltka,biobakery3,biobakery4,jams,wgsa2,woltka,biobakery3,biobakery4,jams,wgsa2,woltka
Community,,,,,,,,,,,,,,,
NIST EG,2.6645,0.0,0.2104,1.1601,26.4802,85.7143,92.8571,92.8571,100.0,85.7143,10.1826,8.9446,12.2531,10.6638,22.5953
NIST MIX-A,0.8464,0.0,0.052,0.6781,30.9152,81.8182,90.9091,72.7273,100.0,90.9091,9.5852,2.8426,12.3527,6.9975,19.242
NIST MIX-B,11.4154,0.0141,0.2655,1.0866,31.0568,72.7273,72.7273,81.8182,100.0,90.9091,13.6522,9.814,13.5504,13.0792,22.8751
NIST MIX-C,32.0567,32.3094,22.3335,9.162,69.1682,63.6364,63.6364,90.9091,100.0,81.8182,14.1087,11.569,17.1601,14.702,24.1026
NIST MIX-D,0.0607,0.1024,0.0194,0.2506,13.1948,72.7273,72.7273,81.8182,100.0,81.8182,4.1345,4.1098,11.2166,8.9316,21.1155
BMock12,2.6303,17.9266,50.0438,37.3443,11.9647,36.3636,63.6364,54.5455,45.4545,9.0909,16.618,11.3065,22.3681,24.4673,26.4484
CamiSim S1,0.5265,3.0566,1.4388,2.0432,8.5091,100.0,89.4737,97.3684,97.3684,86.8421,8.6188,12.7647,15.0361,13.4764,30.7596
CamiSim S2,0.0586,3.8344,0.2055,3.9102,30.6668,100.0,95.2381,100.0,100.0,80.9524,1.2308,7.1138,4.8525,6.3786,25.8766
