Organism,ILLUMINA,tax_id
Muricauda sp. ES.050,74263482,1798204
Thioclava sp. ES.032,45769662,1798206
Cohaesibacter sp. ES.047,64862842,1798205
Propionibacteriaceae bacterium ES.041,20090318,1945889
Marinobacter sp. LV10R510-8,29119402,1415571
Marinobacter sp. LV10MA510-1,71778728,1415567
Psychrobacter sp. LV10R520-6,80284678,1415574
Micromonospora echinaurantiaca,12987850,47857
Micromonospora echinofusca,4794346,47858
Micromonospora coxensis,3614040,356852
Halomonas sp. hl-4,4279722,1761789
Halomonas sp. HL-93,18442,1666906
