genus,RA,Source,SampleID
BIFIDOBACTERIUM,0.1,Expected,expected
STREPTOCOCCUS,0.069,Expected,expected
COLLINSELLA,0.062,Expected,expected
AKKERMANSIA,0.06,Expected,expected
ESCHERICHIA,0.056,Expected,expected
RUMINOCOCCUS,0.056,Expected,expected
ANAEROSTIPES,0.053,Expected,expected
ENTEROCLOSTER,0.053,Expected,expected
BACILLUS,0.052,Expected,expected
CUTIBACTERIUM,0.05,Expected,expected
STAPHYLOCOCCUS,0.048,Expected,expected
PARABACTEROIDES,0.048,Expected,expected
MEGASPHAERA,0.048,Expected,expected
BACTEROIDES,0.047,Expected,expected
BLAUTIA,0.045,Expected,expected
PSEUDOMONAS,0.039,Expected,expected
MEGAMONAS,0.037,Expected,expected
FLAVONIFRACTOR,0.037,Expected,expected
LACTOBACILLUS,0.036,Expected,expected
Streptococcus,0.125871461711961,woltka,SRR17380244
Escherichia,0.1223821644127443,woltka,SRR17380244
Staphylococcus,0.1182796587273562,woltka,SRR17380244
Lachnoclostridium,0.0871379905484847,woltka,SRR17380244
Bacillus,0.0742010982025351,woltka,SRR17380244
Akkermansia,0.0697553617017457,woltka,SRR17380244
Cutibacterium,0.0528426746123596,woltka,SRR17380244
Clostridium,0.0451290852736776,woltka,SRR17380244
Shigella,0.0430067498928497,woltka,SRR17380244
Bacteroides,0.0359880782207282,woltka,SRR17380244
Anaerostipes,0.035229140911801,woltka,SRR17380244
Bifidobacterium,0.0273532021662873,woltka,SRR17380244
Blautia,0.0256285272563141,woltka,SRR17380244
Parabacteroides,0.0248391676578209,woltka,SRR17380244
Collinsella,0.0206427060195667,woltka,SRR17380244
Megasphaera,0.0122481628128364,woltka,SRR17380244
Flavonifractor,0.0107493061757863,woltka,SRR17380244
Megamonas,0.0099404426174223,woltka,SRR17380244
Lactobacillus,0.0096926580906912,woltka,SRR17380244
Pseudomonas,0.0082804353219045,woltka,SRR17380244
Prevotella,0.0028832490046257,woltka,SRR17380244
Ruminococcus,0.0025283546916273,woltka,SRR17380244
Eubacterium,0.0019696731567227,woltka,SRR17380244
Tyzzerella,0.0016701804573108,woltka,SRR17380244
Roseburia,0.0016512920709243,woltka,SRR17380244
Coprococcus,0.0013679338765218,woltka,SRR17380244
Fusicatenibacter,0.0010347790271003,woltka,SRR17380244
Dorea,0.0009934384078392,woltka,SRR17380244
Alistipes,0.0009535233271733,woltka,SRR17380244
Erysipelatoclostridium,0.0008773542081429,woltka,SRR17380244
Prevotellamassilia,0.0007631815261083,woltka,SRR17380244
Holdemania,0.0007365498732615,woltka,SRR17380244
Emergencia,0.0006876603791666,woltka,SRR17380244
Clostridioides,0.0006561041384454,woltka,SRR17380244
Citrobacter,0.0006479396901274,woltka,SRR17380244
Klebsiella,0.0005851511947293,woltka,SRR17380244
Kluyvera,0.0005572883949138,woltka,SRR17380244
Ruthenibacterium,0.0005443289531392,woltka,SRR17380244
Anaerotruncus,0.0005380760224829,woltka,SRR17380244
Propionibacterium,0.000520645573296,woltka,SRR17380244
Corynebacterium,0.0005041222850333,woltka,SRR17380244
Treponema,0.0004936899344048,woltka,SRR17380244
Hungatella,0.0004811192758834,woltka,SRR17380244
Coprobacillus,0.0004791753596172,woltka,SRR17380244
Enterobacter,0.0004099719405406,woltka,SRR17380244
Barnesiella,0.0003847010290801,woltka,SRR17380244
Salmonella,0.0003730051328785,woltka,SRR17380244
Obesumbacterium,0.0003720007761409,woltka,SRR17380244
Odoribacter,0.0003688257129061,woltka,SRR17380244
Faecalitalea,0.0003546999213718,woltka,SRR17380244
Solobacterium,0.0003379498428781,woltka,SRR17380244
Lactonifactor,0.000324439624828,woltka,SRR17380244
Ruminiclostridium,0.0003231436806505,woltka,SRR17380244
Oscillibacter,0.0003112857914267,woltka,SRR17380244
Anaerosporobacter,0.0002838117748645,woltka,SRR17380244
Cronobacter,0.0002802803269809,woltka,SRR17380244
Angelakisella,0.0002610031573411,woltka,SRR17380244
Phascolarctobacterium,0.0002609059615278,woltka,SRR17380244
Fournierella,0.0002541346532006,woltka,SRR17380244
Pseudoflavonifractor,0.0002381945398178,woltka,SRR17380244
Subdoligranulum,0.0002361534277383,woltka,SRR17380244
Bariatricus,0.0002261746575718,woltka,SRR17380244
Faecalibacterium,0.0002218980417862,woltka,SRR17380244
Lamprocystis,0.0002160338943832,woltka,SRR17380244
